n_bioentities,entrez_id
CAPN,388743
Carboxylesterase,1066
Carboxylesterase,8824
Carboxylesterase,23491
Carboxylesterase,283848
Carboxylesterase,221223
CAV,857
CAV,858
CAV,859
CD16,2214
CD16,2215
CD32,2212
CD32,2213
CD32,9103
CD64,2209
CD64,2210
CDC25,993
CDC25,994
CDC25,995
Cadherin,999
Cadherin,1008
Cadherin,1009
Cadherin,1010
Cadherin,1012
Cadherin,1013
Cadherin,1014
Cadherin,1015
Cadherin,1016
Cadherin,28513
Cadherin,1000
Cadherin,28316
Cadherin,64405
Cadherin,64403
Cadherin,1001
Cadherin,1002
Cadherin,1003
Cadherin,1004
Cadherin,1005
Cadherin,1006
Cadherin,1007
CEBP,1050
CEBP,1051
CEBP,1052
CEBP,1054
CEBP,1053
Chemokine receptor,1238
Chemokine receptor,1230
Chemokine receptor,2826
Chemokine receptor,729230
Chemokine receptor,1232
Chemokine receptor,1233
Chemokine receptor,1234
Chemokine receptor,1235
Chemokine receptor,1236
Chemokine receptor,1237
Chemokine receptor,10803
Chemokine receptor,51554
Chemokine receptor,9034
Chemokine receptor,1524
Chemokine receptor,3577
Chemokine receptor,3579
Chemokine receptor,2833
Chemokine receptor,7852
Chemokine receptor,643
Chemokine receptor,10663
Chemokine receptor,57007
Chemokine receptor,2829
Cholinesterase,43
Cholinesterase,590
CHRM,1128
CHRM,1129
CHRM,1131
CHRM,1132
CHRM,1133
COL1,1277
COL1,1278
COL4,1282
COL4,1284
COL4,1285
COL4,1286
COL4,1287
COL4,1288
COL5,1289
COL5,1290
COL5,50509
COX4,1327
COX4,84701
COX6A,1337
COX6A,1339
COX6B,1340
COX6B,125965
COX7A,1346
COX7A,1347
COX7B,1349
COX7B,170712
COX8,1351
COX8,341947
COX,9377
COX,1329
COX,1352
COX,1353
COX,1355
COX,10063
CREB,1385
CREB,1390
