n_bioentities,entrez_id
Tryptase,64499
Tryptase,23430
Tryptase,25823
TXN,7295
TXN,25828
TXNRD,7296
TXNRD,10587
TXNRD,114112
UBE2,997
UBE2,7319
UBE2,7320
UBE2,11065
UBE2,7321
UBE2,7322
UBE2,7323
UBE2,51619
UBE2,7324
UBE2,7325
UBE2,10477
UBE2,140739
UBE2,7326
UBE2,7327
UBE2,7328
UBE2,7329
UBE2,51465
UBE2,118424
UBE2,7332
UBE2,9246
UBE2,9040
UBE2,7334
UBE2,389898
UBE2,55585
UBE2,54926
UBE2,27338
UBE2,7335
UBE2,7336
UBE2,55284
VAV,7409
VAV,7410
VAV,10451
VEGF,7422
VEGF,7423
VEGF,7424
VEGF,2277
VEGF,5228
VEGFR,2321
VEGFR,2324
VEGFR,3791
ABL family,25
ABL family,27
9 1 1,3364
9 1 1,5810
9 1 1,5883
Adaptor protein III,8546
Adaptor protein III,8943
Adaptor protein III,1176
Adaptor protein III,10239
Annexin II heterotetramer,302
Annexin II heterotetramer,6281
Arp2 3 protein,10552
Arp2 3 protein,10095
Arp2 3 protein,10109
Arp2 3 protein,10094
Arp2 3 protein,10093
Arp2 3 protein,10092
Arp2 3 protein,81873
BCKDC,593
BCKDC,594
BCKDC,1629
BCKDC,1738
C1,712
C1,713
C1,714
C1,715
C1,716
C1q,712
C1q,713
CAMK2 complex,815
CAMK2 complex,816
CAMK2 complex,817
CAMK2 complex,818
CBF3,6500
CCT complex,10576
CCT complex,7203
CCT complex,10575
CCT complex,22948
CCT complex,908
CCT complex,10693
CCT complex,10574
CCT complex,10694
CCT complex,6950
CD3,919
CD3,915
CD3,916
CD3,917
CHRN,1135
CHRN,1136
CHRN,1137
CHRN,1138
CHRN,8973
CHRN,1139
CHRN,1141
CHRN,1142
CHRN,1143
Clathrin,1211
Clathrin,1212
Clathrin,1213
Cohesin,5885
Cohesin,9126
CRSP,5469
CRSP,9282
CRSP,9440
CRSP,9439
CRSP,9441
CRSP,9442
CRSP,9443
Cytoplasmic dynein,1778
Cytoplasmic dynein,1780
Cytoplasmic dynein,1781
Cytoplasmic dynein,51143
Cytoplasmic dynein,1783
Cytoplasmic dynein,8655
Cytoplasmic dynein,83658
Cytoplasmic dynein,83657
DNA polymerase delta,5424
DNA polymerase delta,5425
DNA polymerase delta,10714
DNA polymerase delta,57804
DGC,1605
DGC,1756
DGC,1837
DGC,1838
DGC,4842
DGC,6442
DGC,6443
DGC,6444
DGC,8910
DGC,137868
DGC,6640
DGC,6641
DGC,54212
DGC,54221
DGC,8082
DGC,7402
EIF2B,1967
EIF2B,8892
EIF2B,8891
EIF2B,8890
EIF2B,8893
Fibrinogen,2243
Fibrinogen,2244
Fibrinogen,2266
FSH,1081
FSH,2488
Gamma secretase,51107
Gamma secretase,5663
Gamma secretase,55851
GPIT,8733
GPIT,10026
GPIT,94005
GPIT,51604
GPIT,128869
GTF2E,2960
GTF2E,2961
GTF2F,2962
GTF2F,2963
HDL,213
HDL,335
HDL,336
HDL,348
HDL,1191
Hemoglobin,3039
Hemoglobin,3040
Hemoglobin,3043
Hemoglobin,3045
Hemoglobin,3046
Hemoglobin,3047
Hemoglobin,3048
Hemoglobin,3042
Hemoglobin,3049
Hemoglobin,3050
GPIb IX V,2811
GPIb IX V,2812
GPIb IX V,2814
GPIb IX V,2815
IKK complex,1147
IKK complex,3551
IKK complex,8517
Interferon gamma receptor,3459
Interferon gamma receptor,3460
Kinetochore,699
Kinetochore,701
Kinetochore,9184
Kinetochore,1060
Kinetochore,1062
Kinetochore,1063
Kinetochore,64946
Kinetochore,10540
Kinetochore,3835
Kinetochore,4085
Kinetochore,5048
Kinetochore,5663
Kinetochore,5664
Kinetochore,8243
Kinetochore,10910
Kinetochore,6612
Kinetochore,9183
Laminin 111,284217
Laminin 111,3912
Laminin 111,3915
Laminin 332,3909
Laminin 332,3914
Laminin 332,3918
LH,1081
LH,3972
MAC,727
MAC,729
MAC,730
MAC,731
MAC,732
MAC,733
MAC,735
ATP1A,476
ATP1A,477
ATP1A,478
ATP1A,480
ATP1B,481
ATP1B,482
ATP1B,483
ATP1B,23439
NADH dehydrogenase,4535
NADH dehydrogenase,4536
NADH dehydrogenase,4537
NADH dehydrogenase,4538
NADH dehydrogenase,4539
NADH dehydrogenase,4540
NADH dehydrogenase,4541
NADPH oxidase,1535
NADPH oxidase,1536
NADPH oxidase,53905
NADPH oxidase,50506
NADPH oxidase,653361
NADPH oxidase,4688
NADPH oxidase,4689
NADPH oxidase,27035
NADPH oxidase,50508
NADPH oxidase,50507
NADPH oxidase,79400
NADPH oxidase,5879
NFY,4800
NFY,4801
NFY,4802
PhK,801
PhK,5255
PhK,5256
PhK,5257
PhK,5260
PhK,5261
PRC1 complex,648
PRC1 complex,84733
PRC1 complex,8535
PRC1 complex,57332
PRC1 complex,7703
PRC1 complex,1911
PRC1 complex,1912
PRC1 complex,80012
PRC1 complex,5252
PRC1 complex,6015
PRC1 complex,6045
PRC1 complex,22955
PRC1 complex,7528
PRC1 complex,7693
PRC2 complex,8726
PRC2 complex,2145
PRC2 complex,2146
PRC2 complex,23512
Propionyl CoA carboxylase,5095
Propionyl CoA carboxylase,5096
Proteasome,5682
Proteasome,5683
Proteasome,5684
Proteasome,5685
Proteasome,5686
Proteasome,5687
Proteasome,5688
Proteasome,143471
Proteasome,5689
Proteasome,5699
Proteasome,5690
Proteasome,5691
Proteasome,5692
Proteasome,5693
Proteasome,5694
Proteasome,5695
Proteasome,5696
Proteasome,5698
Proteasome,5700
Proteasome,5701
Proteasome,5702
Proteasome,5704
Proteasome,5705
Proteasome,5706
Proteasome,5707
Proteasome,5716
Proteasome,5717
Proteasome,5718
Proteasome,5719
Proteasome,10213
Proteasome,5708
Proteasome,5709
Proteasome,5710
Proteasome,5711
Proteasome,9861
Proteasome,5713
Proteasome,5714
Proteasome,5715
Proteasome,5720
Proteasome,5721
Proteasome,10197
Proteasome,9491
Proteasome,7979
Proteasome,8078
ATP synthase,496
ATP synthase,496
ATP synthase,496
ATP synthase,496
ATP synthase,496
ATP synthase,496
ATP synthase,514
ATP synthase,514
ATP synthase,93974
ATP synthase,93974
ATP synthase,93974
ATP synthase,9556
ATP synthase,4508
ATP synthase,4509
PDH,1737
PDH,1738
PDH,5160
PDH,5161
PDH,5162
PDH,8050
ETC complex II,6389
ETC complex II,6390
ETC complex II,6391
ETC complex II,6392
ETC complex III,1537
ETC complex III,4519
ETC complex III,7381
ETC complex III,7384
ETC complex III,7385
ETC complex III,7386
ETC complex III,7388
ETC complex III,27089
RFC,5981
RFC,5982
RFC,5983
RFC,5984
RFC,5985
RNApo I,25885
RNApo I,84172
RNApo I,9533
RNApo I,51082
RNApo II,5430
RNApo II,5431
RNApo II,5432
RNApo II,5433
RNApo II,5434
RNApo II,5435
RNApo II,5436
RNApo II,5437
RNApo II,5438
RNApo II,5439
RNApo II,246721
RNApo II,5440
RNApo II,5441
Thrombin antithrombin,2147
Thrombin antithrombin,462
TIF IB,9015
TIF IB,9014
TIF IB,9013
TIF IB,6908
mTORC2,79109
mTORC2,2475
mTORC2,253260
mTORC2,64223
mTORC1,2475
mTORC1,57521
p53 family,7157
p53 family,8626
p53 family,7161
Patched,5727
Patched,8643
Troponin C,7134
Troponin C,7125
Troponin I,7135
Troponin I,7136
Troponin I,7137
Troponin T,7138
Troponin T,7139
Troponin T,7140
SERCA,487
SERCA,488
SERCA,489
YBX,4904
YBX,51087
YBX,8531
CHEK,1111
CHEK,11200
PARP,142
PARP,10038
PARP,10039
PARP,143
PARP,56965
PARP,79668
PARP,83666
PARP,84875
PARP,57097
PARP,64761
PARP,54625
PARP,165631
PARP,54956
PARP,8658
PARP,80351
PARP,25976
NFE,4779
NFE,4780
NFE,9603
CDKN1,1026
CDKN1,1027
CDKN1,1028
CDKN2,1029
CDKN2,1030
CDKN2,1031
CDKN2,1032
CDKN,1033
RhoGDI,396
RhoGDI,397
RhoGDI,398
RPA,6117
RPA,6118
RPA,6119
TCR,6955
TCR,6957
TCR,6964
TCR,6965
AP1,3725
AP1,3726
AP1,3727
Cyclin,1978
Cyclin,1979
Cyclin,8637
Inhibin,3623
Inhibin,3624
Inhibin,3623
Inhibin,3625
